"","V1","V2","V3","V4","V5"
"1",0.837490815641599,0.0197,0.69,557,0.64
"2",0.839131839868161,0.0197,0.69,560,0.64
"3",0.837695643003488,0.0197,0.69,563,0.64
"4",0.83757420047576,0.0197,0.69,557,0.65
"5",0.837437150017574,0.0197,0.69,560,0.65
"6",0.837669184354167,0.0197,0.69,563,0.65
"7",0.83742977366684,0.0197,0.69,557,0.66
"8",0.838719459101834,0.0197,0.69,560,0.66
"9",0.838264797948398,0.0197,0.69,563,0.66
"10",0.837484134164543,0.0197,0.7,557,0.64
"11",0.838649009607318,0.0197,0.7,560,0.64
"12",0.837762137063507,0.0197,0.7,563,0.64
"13",0.838024371676576,0.0197,0.7,557,0.65
"14",0.837520855562625,0.0197,0.7,560,0.65
"15",0.838516716360818,0.0197,0.7,563,0.65
"16",0.837159307473975,0.0197,0.7,557,0.66
"17",0.837101365704657,0.0197,0.7,560,0.66
"18",0.838055694441202,0.0197,0.7,563,0.66
"19",0.837921049314754,0.0197,0.71,557,0.64
"20",0.838351176084296,0.0197,0.71,560,0.64
"21",0.837356918840592,0.0197,0.71,563,0.64
"22",0.838025013098364,0.0197,0.71,557,0.65
"23",0.83682453874556,0.0197,0.71,560,0.65
"24",0.837706600625909,0.0197,0.71,563,0.65
"25",0.837337943445671,0.0197,0.71,557,0.66
"26",0.837678698777583,0.0197,0.71,560,0.66
"27",0.837616480862807,0.0197,0.71,563,0.66
"28",0.837100082861012,0.0198,0.69,557,0.64
"29",0.837313676320826,0.0198,0.69,560,0.64
"30",0.837048234598778,0.0198,0.69,563,0.64
"31",0.836791558974618,0.0198,0.69,557,0.65
"32",0.837425871684228,0.0198,0.69,560,0.65
"33",0.837528499172435,0.0198,0.69,563,0.65
"34",0.837550467869097,0.0198,0.69,557,0.66
"35",0.837820346091971,0.0198,0.69,560,0.66
"36",0.837283369140733,0.0198,0.69,563,0.66
"37",0.838325091597676,0.0198,0.7,557,0.64
"38",0.838303229804669,0.0198,0.7,560,0.64
"39",0.83646443385605,0.0198,0.7,563,0.64
"40",0.837219654575126,0.0198,0.7,557,0.65
"41",0.836987032268578,0.0198,0.7,560,0.65
"42",0.838112193011512,0.0198,0.7,563,0.65
"43",0.837654378200927,0.0198,0.7,557,0.66
"44",0.836589511107205,0.0198,0.7,560,0.66
"45",0.837809816084074,0.0198,0.7,563,0.66
"46",0.837150594827873,0.0198,0.71,557,0.64
"47",0.837039201241737,0.0198,0.71,560,0.64
"48",0.837668596384158,0.0198,0.71,563,0.64
"49",0.837506423572076,0.0198,0.71,557,0.65
"50",0.838983617980298,0.0198,0.71,560,0.65
"51",0.837710609512176,0.0198,0.71,563,0.65
"52",0.837627438485266,0.0198,0.71,557,0.66
"53",0.837326184045955,0.0198,0.71,560,0.66
"54",0.837401978722132,0.0198,0.71,563,0.66
"55",0.838155970049464,0.0199,0.69,557,0.64
"56",0.837400588974928,0.0199,0.69,560,0.64
"57",0.83703059549923,0.0199,0.69,563,0.64
"58",0.838114865602335,0.0199,0.69,557,0.65
"59",0.837153213966907,0.0199,0.69,560,0.65
"60",0.838224495278562,0.0199,0.69,563,0.65
"61",0.837340776391967,0.0199,0.69,557,0.66
"62",0.837196082323966,0.0199,0.69,560,0.66
"63",0.837528926787002,0.0199,0.69,563,0.66
"64",0.837114194140663,0.0199,0.7,557,0.64
"65",0.838271051810972,0.0199,0.7,560,0.64
"66",0.837186781707774,0.0199,0.7,563,0.64
"67",0.837907419101486,0.0199,0.7,557,0.65
"68",0.83745372008076,0.0199,0.7,560,0.65
"69",0.837755829749134,0.0199,0.7,563,0.65
"70",0.837103450325466,0.0199,0.7,557,0.66
"71",0.837649300278326,0.0199,0.7,560,0.66
"72",0.837813130096684,0.0199,0.7,563,0.66
