"","V1","V2"
"1",0.838740893280334,1
"2",0.83731121753727,2
"3",0.838288690910501,3
"4",0.839637761313938,4
"5",0.838326802055901,5
"6",0.837327627245018,6
"7",0.838194562261156,7
"8",0.838416494204351,8
"9",0.837873049583312,9
"10",0.838113529306923,10
"11",0.838483950397145,11
"12",0.838006892932504,12
"13",0.838267417087454,13
"14",0.83828895816961,14
"15",0.837732792016052,15
"16",0.837246113224427,16
"17",0.838347381005309,17
"18",0.838667236676865,18
"19",0.838650238999096,19
"20",0.837993262719247,20
"21",0.837362851992241,21
"22",0.837589060080836,22
"23",0.838320655096968,23
"24",0.839109497008843,24
"25",0.836945820917844,25
"26",0.838534515815816,26
"27",0.838650987324548,27
"28",0.837758929954507,28
"29",0.838182856313288,29
"30",0.837922171802923,30
"31",0.838348289686192,31
"32",0.838110642908844,32
"33",0.838782692601044,33
"34",0.838736029165017,34
"35",0.838930540326247,35
"36",0.837670681005036,36
"37",0.838289973754104,37
"38",0.837300634077512,38
"39",0.836975540127911,39
"40",0.838595931953306,40
"41",0.838360102537677,41
"42",0.837977120270571,42
"43",0.838203649069988,43
"44",0.837976692656005,44
"45",0.838679690950175,45
"46",0.838215087758791,46
"47",0.839200953067261,47
"48",0.838019667916719,48
"49",0.839101051621697,49
"50",0.837886359085655,50
"51",0.838443327016441,51
"52",0.838441188943739,52
"53",0.838386561187,53
"54",0.837614449693815,54
"55",0.837371618090243,55
"56",0.838539166123918,56
"57",0.837806021005104,57
"58",0.838608920744736,58
"59",0.838139613793549,59
"60",0.838929898904423,60
"61",0.838602399623085,61
"62",0.837919499212043,62
"63",0.837785228248353,63
"64",0.836936413398048,64
"65",0.838181092403366,65
"66",0.838410454149062,66
"67",0.838653659915362,67
"68",0.838277412577147,68
"69",0.837826867213606,69
"70",0.837901860112495,70
"71",0.837396419733215,71
"72",0.838354115934274,72
"73",0.838764358627935,73
"74",0.838053182205789,74
"75",0.838438249093837,75
"76",0.8385271929169,76
"77",0.83965192604538,77
"78",0.836630401747107,78
"79",0.837675545120323,79
"80",0.838341982371836,80
"81",0.83855279633716,81
"82",0.838052273524945,82
"83",0.838370525642013,83
"84",0.838855119812728,84
"85",0.837589327339917,85
"86",0.838910282087676,86
"87",0.837863428256275,87
"88",0.839568755018432,88
"89",0.838463478351345,89
"90",0.837834938437967,90
"91",0.838215889536063,91
"92",0.838867520634279,92
"93",0.838147203951503,93
"94",0.839370341874613,94
"95",0.838701552743176,95
"96",0.838543549172823,96
"97",0.83854739770366,97
"98",0.839863809047009,98
"99",0.838409010950057,99
"100",0.837414272639987,100
"101",0.83965032249085,101
"102",0.839206672411706,102
"103",0.837850973982945,103
"104",0.838930754133514,104
"105",0.838654515144404,105
"106",0.839239919441722,106
"107",0.838632599899583,107
"108",0.838221395073177,108
"109",0.839249914931479,109
"110",0.838093164164786,110
"111",0.838853302451025,111
"112",0.838406605618308,112
"113",0.838647726763722,113
"114",0.839374136953602,114
"115",0.839734776361341,115
"116",0.838169172648235,116
"117",0.838871422616935,117
"118",0.838154099235906,118
"119",0.839182244931436,119
"120",0.838433331526652,120
"121",0.838726514741635,121
"122",0.837492205388818,122
"123",0.836917705262245,123
"124",0.836662633192626,124
"125",0.83715161041238,125
"126",0.837687999393667,126
"127",0.837681905886538,127
"128",0.83674163497779,128
"129",0.836733777560692,129
"130",0.836175312979111,130
"131",0.836316639582636,131
"132",0.835558318658147,132
"133",0.837217676857866,133
"134",0.83648677671539,134
"135",0.835745774179527,135
"136",0.83625586486697,136
"137",0.83451060959762,137
"138",0.833725562764791,138
"139",0.83419166260704,139
"140",0.833970211730119,140
"141",0.833211463191111,141
"142",0.835498345719738,142
"143",0.831707329067272,143
"144",0.833817820600532,144
"145",0.832201598016916,145
"146",0.827728749989693,146
"147",0.828400532422812,147
"148",0.826502832572111,148
"149",0.823271830603943,149
"150",0.820619177293183,150
"151",0.813183708869759,151
